Number	Name
03	Agriculture and Agri-Food
001	Agriculture and Agri-Food (Department of)
AAA00	Business Risk Management
AAB00	Canadian Pari-Mutuel Agency
AAH00	Farm Products Council of Canada
ABG00	Science, Innovation, Adoption and Sustainability
ABQ00	Industry Capacity
CMA00	Market Access, Negotiations, Sector Competitiveness, and Assurance Systems
ISC0A	Internal Services
005	Canadian Dairy Commission
AAL00	Administer Milk Supply Management System
013	Canadian Grain Commission
AAW00	Grain Quality Research Program
AAZ00	Quality Assurance Program
ABB00	Quantity Assurance Program
ABD00	Producer Protection Program
ISC0A	Internal Services
06	National Revenue
001	Canada Revenue Agency
BRA00	Tax
BRA01	Tax Services and Processing
BRA02	Returns Compliance
BRA03	Collections
BRA04	Domestic Compliance
BRA05	International and Large Business Compliance and Criminal Investigations
BRA06	Objections and Appeals
BRA07	Taxpayer Relief
BRA08	Service Complaints
BRA09	Charities
BRA10	Registered Plans
BRA11	Policy, Rulings, and Interpretations
BRB00	Benefits
BRB01	Benefits
BRC00	Taxpayers' Ombudsman
BRC01	Taxpayers' Ombudsman
ISSA0	Internal support services core responsibility
ISSA1	Management and Oversight
ISSA2	Communications
ISSA3	Legal
ISSA4	Human Resources Management
ISSA5	Financial Management
ISSA6	Information Management
ISSA7	Information Technology
ISSA8	Real Property Management
ISSA9	Materiel Management
ISSAZ	Acquisition Management
09	Canadian Heritage
001	Canadian Heritage (Department of)
ACR00	Sport
ACS00	Arts
ACU00	Cultural Industries
ADA00	Heritage
ADB00	Attachment to Canada
ADM00	Engagement and Community Participation
ADN00	Official Languages
ISC0A	Internal Services
005	Canada Council for the Arts
ACF00	Canada Council for the Arts
009	Canadian Broadcasting Corporation
ACH00	Canadian Broadcasting Corporation
013	Canadian Museum of History
ACT00	Canadian Museum of History
015	Canadian Museum for Human Rights
ACW00	Canadian Museum for Human Rights
017	Canadian Museum of Nature
ACV00	Canadian Museum of Nature
020	Canadian Museum of Immigration at Pier 21
ADT00	Canadian Museum of Immigration at Pier 21
021	Canadian Radio-television and Telecommunications Commission
CAA00	Canadian Content Creation
CAB00	Connection to the Communication System
CPA00	Protection within the communication system
ISC0A	Internal Services
024	Library and Archives of Canada
BHB00	Development of disposition authorizations  
BHC00	Acquisition and processing of documentary heritage
BHD00	Access to documentary heritage
ISC0A	Internal Services
LJN00	Collaboration in the management of government records
LJO00	Preservation of Documentary Heritage
029	National Arts Centre Corporation
ADO00	National Arts Centre Corporation
033	The National Battlefields Commission
ADR00	Conservation and Development
ADS00	Public Education and Services
ISC0A	Internal Services
041	National Film Board
AEA00	Audiovisual production
BLT00	Accessibility and Audience Engagement
ISC0A	Internal Services
045	National Gallery of Canada
AEF00	National Gallery of Canada
053	National Museum of Science and Technology
AEH00	National Museum of Science and Technology
066	Office of the Co-ordinator, Status of Women
CCA00	Strategic Advice, Expertise and Promotion of Gender Equality  
CCB00	Advancing Equality for Women
ISC0A	Internal Services
067	National Capital Commission
ADV00	National Capital Commission
069	Telefilm Canada
AFB00	Investment in the development of and support to the Canadian audiovisual industry
AFF00	National and international promotional support for Canadian content
ISC0A	Internal Services
12	Immigration, Refugees and Citizenship
001	Citizenship and Immigration (Department of)
AFP00	Family and Discretionary Immigration
AFV00	Health Protection
AFW00	Migration Control and Security Management
COA00	Passport
ISC0A	Internal Services
LJI00	Permanent Economic Residents
LJV00	Temporary Economic Residents
LJW00	Refugee Protection
LJX00	Newcomer Settlement and Integration
LJY00	Citizenship for Newcomers and All Canadians
LJZ00	Canadian Influence in International Migration and Integration Agenda
005	Immigration and Refugee Board
AFR00	Admissibility Hearings and Detention Reviews
AFT00	Immigration Appeal
AFU00	Refugee Protection
HAC00	Refugee Appeal
ISC0A	Internal Services
15	Environment and Climate Change
001	Environment (Department of the)
AGL00	Biodiversity-Wildlife and Habitat
AGM00	Water Resources
AGR00	Weather and Environmental Services for Canadians
AGS00	Substances and Waste Management
BDJ00	Weather and Environmental Services for Targeted Users
BDK00	Sustainable Ecosystems
BDO00	Compliance Promotion and Enforcement-Pollution
BIA00	Climate Change and Clean Air
BKF00	Compliance Promotion and Enforcement-Wildlife
ISC0A	Internal Services
005	Canadian Environmental Assessment Agency
AGG00	Environmental Assessment Delivery Program
AGH00	Environmental Assessment Policy Program
ISC0A	Internal Services
057	Parks Canada Agency
AGV00	Heritage Places Conservation
AGW00	Heritage Places Establishment
AGZ00	Heritage Places Promotion and Public Support
AHA00	Visitor Experience
AHC00	Heritage Canals, Highways and Townsites Management
ISC0A	Internal Services
18	Finance
001	Finance (Department of)
BLH00	Economic and Fiscal Policy Framework
BLI00	Treasury and Financial Affairs
BLJ00	Transfer and Taxation Payment Programs
ISC0A	Internal Services
005	Auditor General
AHF00	Legislative Auditing
ISC0A	Internal Services
013	Financial Consumer Agency of Canada
SGA00	Financial Consumer Agency of Canada
017	Financial Transactions and Reports Analysis Centre of Canada
BNG00	Financial Intelligence Program
BNH00	Compliance Program
ISC0A	Internal Services
021	Office of the Superintendent of Financial Institutions
AIG00	Actuarial Valuation and Advisory Services
AIH00	Regulation and Supervision of Federally Regulated Financial Institutions
AII00	Regulation and Supervision of Federally Regulated Private Pension Plans
ISC0A	Internal Services
025	Royal Canadian Mint
ABV00	Royal Canadian Mint
21	Fisheries, Oceans and the Canadian Coast Guard
001	Fisheries and Oceans (Department of)
AIP00	Fisheries Protection
AIV00	Small Craft Harbours
AIW00	Species at Risk
CGA00	Climate Change Adaptation Program
HAA00	Integrated Fisheries Management
HAB00	Oceans Management
HGN00	Aboriginal Strategies and Governance
HGO00	Sustainable Aquaculture Program
HGP00	Aquatic Animal Health
HGQ00	Biotechnology and Genomics
HGR00	International Engagement
HGS00	Marine Navigation
HGW00	Territorial Delineation
HGX00	Compliance and Enforcement
HGY00	Salmonid Enhancement Program
ISC0A	Internal Services
LJA00	Environmental Response Services
LJC00	Search and Rescue Services
LJD00	Marine Communications and Traffic Services
LJE00	Maritime Security
LJF00	Fleet Operational Readiness
LJG00	Shore-Based Asset Readiness
LJH00	Canadian Coast Guard College
LJK00	Hydrographic Products and Services
LJL00	Ocean Forecasting
24	Global Affairs
001	Foreign Affairs, Trade and Development (Department of)
AJG00	Diplomacy, Advocacy, and International Agreements
AJK00	Mission Network Governance, Strategic Direction and Common Services
AJL00	Consular Services and Emergency Management
AJP00	Integrated Foreign Affairs, Trade, and Development Policy
AJQ00	International Commerce
AJR00	Management of Government of Canada Terms and Conditions of Employment Abroad
DAN00	International Security and Democratic Development
DAP00	Développement international
DAQ00	International Humanitarian Assistance
ISC0A	Internal Services
005	Canadian Commercial Corporation
AQS00	Canadian Commercial Corporation
017	International Development Research Centre
AJS00	International Development Research Centre
021	International Joint Commission
AJU00	Boundary Waters Treaty
AJV00	Great Lakes Water Quality Agreement
ISC0A	Internal Services
27	Governor General
001	Governor General's Secretary (Office of the)
AKC00	Governor General Support
ISC0A	Internal Services
30	Health
001	Health (Department of)
AKR00	Environmental Risks to Health
AKS00	Pesticides
AKU00	First Nations and Inuit Primary Health Care
AKZ00	Problematic substance use
ALA00	Specialized Health Services
BMA00	Canadian Health System Policy
BMD00	Health Products
BME00	Food Safety and Nutrition
CFA00	Consumer Product and Workplace Hazardous Materials  
ISC0A	Internal Services
LJR00	Official Language Minority Community Development
LJS00	Radiation Protection
LJT00	Supplementary Health Benefits for First Nations and Inuit
LJU00	Health Infrastructure Support for First Nations and Inuit
005	Canadian Institutes of Health Research
BDW00	Investigator-Initiated Health Research
BDX00	Priority-Driven Health Research
ISC0A	Internal Services
009	Canadian Food Inspection Agency
AAQ00	Food Safety Program
AJY00	Animal Health And Zoonotics Program
AJZ00	Plant Resources Program
HGA00	International Collaboration And Technical Agreements
ISC0A	Internal Services
013	Patented Medicine Prices Review Board
ALD00	Pharmaceutical Trends Program
ALE00	Patented Medicine Prices Regulation Program
ISC0A	Internal Services
100	Public Health Agency of Canada
CIA00	Public Health Infrastructure
CIB00	Health Promotion and Disease Prevention
CIC00	Health Security
ISC0A	Internal Services
33	Families, Children and Social Development
001	Employment and Social Development (Department of)
AMP00	Labour
AMQ00	Learning
BJJ00	Skills and Employment
BJK00	Income Security
BKC00	Social Development
DAA00	Service Network Supporting Government Departments
DAB00	Delivery of Services for Other Government of Canada Programs
ISC0A	Internal Services
007	Canada Mortgage and Housing Corporation
ALQ00	Market Analysis Information
ALW00	Housing Policy, Research and Information Transfer
BKL00	Insured Mortgage Purchase Program
CDA00	Funding Under Long-Term Commitments for Existing Social Housing
CDB00	Funding for New Commitments of Affordable Housing
CDC00	Housing Support
ISC0A	Internal Services
SSA00	Other revenue-Canada Mortgage and Housing Corporation
013	Canadian Centre for Occupational Health and Safety
AMH00	Occupational Health and Safety Information Development, Delivery Services and Tripartite Collaboration
ISC0A	Internal Services
36	Indigenous and Northern Affairs
001	Indian Affairs and Northern Development (Department of)
AFA00	Other Claims
ANC00	Infrastructure and Capacity
ANG00	Education
ANL00	Governance and Institutions of Government
ANM00	First Nations Individual Affairs
ANO00	Northern Governance and People
ANP00	Northern Land, Resources and Environmental Management
ANR00	Social Development
CEA00	Urban Indigenous Participation
CKA00	Rights and Interests of Indigenous Peoples
CKB00	Management and Implementation of Agreements and Treaties
CKC00	Indigenous Entrepreneurship
CKD00	Community Economic Development
CKE00	Strategic Partnerships
HGH00	Residential Schools Resolution
HGV00	Northern Science and Technology
ISC0A	Internal Services
060	Canadian High Arctic Research Station
DAT00	Science and Technology for the North
DAU00	Polar Knowledge Application
ISC0A	Internal services
39	Innovation, Science and Economic Development
001	Industry (Department of)
AOW00	Industrial Competitiveness and Capacity
AOX00	Industrial Research and Development Financing
AOZ00	Community Economic Development
APA00	Marketplace Frameworks and Regulation
APD00	Science, Technology and Innovation Capacity
APG00	Spectrum, Telecommunications, and the Digital Economy
APJ00	Small Business Research, Financing and Services
CRA00	Marketplace Competition and Investments
ISC0A	Internal Services
003	Canadian Northern Economic Development Agency
CLA00	Economic Development
CLB00	Policy and Alignment
ISC0A	Internal Services
005	Atlantic Canada Opportunities Agency
ABH00	Enterprise Development
ABK00	Community Development
ABR00	Policy, Advocacy and Coordination
ISC0A	Internal Services
009	Canadian Space Agency
ANW00	Future Canadian Space Capacity
ANX00	Space Data, Information and Services
ANY00	Space Exploration
ISC0A	Internal Services
013	Canadian Tourism Commission
AOB00	Canadian Tourism Commission
015	Economic Development Agency of Canada for the Regions of Quebec
BNI00	Business Development
BNJ00	Regional Economic Development
BNK00	Strengthening Community Economies
ISC0A	Internal Services
021	Copyright Board
AOJ00	Copyright Tariff Setting and Issuance of Licences
ISC0A	Internal Services
028	Federal Economic Development Agency for Southern Ontario
BMF00	Community Economic Development
BMR00	Technological Innovation
HGL00	Business Development
ISC0A	Internal Services
029	Enterprise Cape Breton Corporation
ABS00	Enterprise Cape Breton Corporation
033	National Research Council of Canada
APY00	Science Infrastructure and Measurement
BMM00	Industrial Research Assistance Program (IRAP)
CTA00	Technology Development and Advancement
ISC0A	Internal Services
037	Natural Sciences and Engineering Research Council
CBA00	People: Research Talent
CBB00	Discovery: Advancement of Knowledge
CBC00	Innovation: Research Partnerships
ISC0A	Internal Services
045	Social Sciences and Humanities Research Council
AQA00	Insight: new knowledge in the social sciences and humanities
AQB00	Talent: attraction, retention and development of students and researchers in the social sciences and humanities
AQD00	Indirect Costs of Research
AQZ00	Canada First Research Excellence Fund
BMS00	Connection: mobilization of social sciences and humanities knowledge
ISC0A	Internal Services
049	Standards Council of Canada
AQK00	Standards Council of Canada
053	Statistics Canada
AQL00	Censuses
AQM00	Economic and Environmental Statistics
AQN00	Socio-economic Statistics
AQR00	Statistical Infrastructure
AQT00	Cost-recovered Statistical Services
ISC0A	Internal Services
057	Western Economic Diversification (Department of)
BCE00	Community Economic Growth
BCW00	Policy, Advocacy and Coordination
CJA00	Business Development and Innovation
ISC0A	Internal Services
42	Justice
001	Justice (Department of)
ASA00	Office of the Federal Ombudsman for Victims of Crime
ASB00	Stewardship of the Canadian Legal Framework
ASE00	Legal Services to Government Program
ISC0A	Internal Services
