Number	Name
A	Objects of expenditure
0	Services
01	Personnel
010	Salaries and wages
0101	Civilian regular time-Continuing employment
0102	Civilian regular time-Part-time, seasonal, casual and student
0103	Civilian premium pay for work during non-standard hours or other reasons
0104	Civilian holiday pay in lieu of leave
0105	Civilian overtime (for additional hours)
0106	Civilian bilingual bonus
0107	Civilian severance pay and termination benefits
0108	Civilian severance pay and termination benefits-Immediate Settlement
0109	Military and Royal Canadian Mounted Police (RCMP) members retroactive payments-Current fiscal year
0110	Civilian retroactive payments-Previous fiscal year(s)
0111	Civilian retroactive payments-Current fiscal year
0112	Civilian pay equity
0113	Other salaries and wages
0114	Royal Canadian Mounted Police (RCMP) members-Overtime
0115	Military and Royal Canadian Mounted Police (RCMP) members-Regular time
0116	Military and Royal Canadian Mounted Police (RCMP) members-Severance pay and termination benefits-Immediate settlement
0117	Military and Royal Canadian Mounted Police (RCMP) members-Retroactive payments-Previous fiscal year(s)
0118	Military and Royal Canadian Mounted Police (RCMP) members-Holiday pay in lieu of leave
0119	Military and Royal Canadian Mounted Police (RCMP) members-Severance pay and termination benefits
0128	Royal Canadian Mounted Police (RCMP)-Bilingual bonus
012	Allowances and other benefits
0120	Civilian-Allowances to compensate employees for certain expenses
0121	Civilian-Compensation for additional or specific duties performed
0122	Civilian-Pay equity allowances
0123	Civilian-Pay equity interest
0124	Civilian-Foreign service allowance
0125	Civilian-Isolated post allowance
0126	Civilian-Other allowances and benefits
0127	Military and Royal Canadian Mounted Police (RCMP) members-Allowances and benefits
016	Employer contributions
0160	Employer contribution to Public Service Superannuation Account (PSSA)-Current
0161	Employer contribution to Public Service Superannuation Account(PSSA)-Actuarial deficiency
0162	Employer contribution to Public Service Death Benefit Account
0164	Employer contribution to the Canadian Forces Superannuation Account-Current
0165	Employer contribution to the Canadian Forces Superannuation Account-Actuarial deficiency
0166	Employer contribution to Canadian Forces Supplementary Death Benefit under Part II
0167	Employer contribution to Retirement Compensation Arrangements Account
0168	Employer contribution to the Royal Canadian Mounted Police (RCMP) Superannuation Account-Actuarial deficiency
0169	Employer contribution to Employment Insurance
0170	Employer contribution to Royal Canadian Mounted Police (RCMP) Superannuation Account
0171	Employer contribution to Members of Parliament Retirement Allowance Account
0172	Employer contribution to Canada and Quebec pension plans
0173	Employer contribution to other pension programs including Judges Act
0174	Employer contribution to hospital and medical plans
0176	Employer contribution for disability insurance
0177	Employer contributions-Other
017	 Reallocation of expenditures under Standard object 01
0179	Personnel-Reallocation of capital expenditures
018	Supplementary personnel costs
0181	Executive Interchange and other exchange programs
0182	Supplementary employee benefits
0184	Provincial workers’ compensation boards payments and recoveries
0185	Other pension payments charged to expenses
0186	Other supplementary personnel costs
0187	Accrual of salaries and benefits
0188	Return of pension contributions charged to expenses
02	Transportation and communications
020	Relocation
0207	Employee relocation in Canada
0208	Employee relocation outside Canada and/or return
021	Postage, freight, express, and cartage
0210	Transportation of things not elsewhere specified
0212	Postage and parcel post
0213	Courier services
022	Telecommunication services
0223	Communications/Network services (includes services for analog, digital or combined analog &amp; digital, parts, peripherals and cabling)
0230	Voice communications services
0231	Data communications services
0232	Image/Video communications services (includes telepresence/video conferencing services)
025	Travel-Public Servants
0251	Public servant travel-Support core mandate activities
0252	Public servant travel-Stakeholder engagement
0253	Public servant travel-Support internal governance
0254	Public servant travel-Employee training
0255	Public servant travel-Other reasons
026	Travel-Non-public servants
0261	Non-public servant travel-Support core mandate activities
0262	Non-public servant travel-Stakeholder engagement
0263	Non-public servant travel-Support internal governance
0264	Non-public servant travel-Support employee training
0265	Non-public servant travel-Other reasons
029	Reallocation of expenditures under standard object 02
0299	Transportation and communications-Reallocation of capital expenditures
03	Information
030	Advertising services
0301	Advertising services
031	Publishing services
0311	Publishing services
032	Printing and imaging services
0321	Printing services
0322	Imaging services
033	Exposition and related services
0331	Exposition services
0332	Audio-visual services
034	Communications research services
0341	Communications research services
035	Communications professional services
0351	Communications professional services not elsewhere specified
0352	Public relations services
036	Subscriptions and data access services
0361	Electronic subscriptions and electronic publications
0362	Data and database access services
039	Reallocation of expenditures under standard object 03
0399	Information-Reallocation of capital expenditures
04	Professional and special services
040	Business services
0401	Accounting and audit services
0402	Human resources management services
0403	Financial management services
0404	Communications services
0405	Real property services
0406	Material services
0407	Acquisition services
0811	Contracted building cleaning
0815	Collection agency fees and charges
0816	Service provider fees related to loan administration
0851	Banking services
0852	Real estate services
0853	Provincial administration of public service and merchant seamen compensation legislation
0854	Motor vehicle licences
0855	Acquisition and contract charges
0856	Provincial/territorial administrative costs
0859	Other business services not elsewhere specified
041	Legal services
0410	Legal services
042	Engineering and architectural services
0420	Engineering services not elsewhere specified
0421	Architectural services
0422	Engineering consultants-Construction
0423	Engineering consultants-Other
0495	Services related to the assessment of potentially contaminated sites
0496	Services related to the remediation of contaminated sites
0497	Services related to the care and maintenance of contaminated sites
0498	Services related to the monitoring of previously contaminated sites
043	Scientific and research services
0430	Scientific services
0431	Scientific consultants
0492	Research contracts
044	Training and educational services
0440	Education-Non-public servants
0444	Teachers and instructors on contract
0445	Tuition fees for courses where employees take training on their own time
0446	Training consultants
0447	Tuition fees and costs of attending courses including seminars not elsewhere specified
0448	Purchase of training packages and courses
045	Health and welfare services
0450	Hospital services
0451	Other health services not elsewhere specified
0452	Welfare services
0453	Physicians and surgeons
0454	Paramedical personnel
0455	Dental services
046	Protection services
0460	Protection services
047	Informatics services
0473	Information technology and telecommunications consultants
0474	Information management services
0475	Information technology services
0812	Computer services (includes IT solutions/deliverables as well as IT managed services)
048	Management consulting
0491	Management consulting
082	Special fees and services
0821	Membership fees
0822	Hospitality
0823	Conference fees
086	Temporary help services
0813	Temporary help services
087	Interpretation and translation services
0493	Interpretation services
0494	Translation services
088	Construction services
0881	Construction services
089	Other services
0499	Other professional services not elsewhere specified
0819	Non-professional personal service contracts not elsewhere specified
